,x,bed,thickness
107,1579.943169427468,243.20719158045407,2915.7292190400003
108,1594.376649116908,243.33545235719737,2915.6764065600005
109,1609.4565506150102,243.46330051969852,2915.6228128
110,1623.8331149931328,243.59072721471094,2915.56921904
111,1638.968900646767,243.71772356099004,2915.51640656
112,1653.3453844320175,243.8442806547331,2915.4628128
113,1668.4242105406447,243.97038957456866,2915.40921904
114,1682.8574078109377,244.09604138661106,2915.3828128
115,1697.9361510831368,244.2212271503945,2915.3292190399998
116,1712.3123902686493,244.345937927273,2915.3028127999996
117,1727.449457272669,244.47016479135561,2915.2492190400003
118,1742.4695034407923,244.5938988407285,2915.4628128
119,1756.845578790395,244.7171312063396,2915.6764065600005
120,1771.924031746763,244.83985305819118,2915.88921904
121,1786.2999846113526,244.96205561047435,2916.1028128
122,1801.3783546928753,245.08373012630258,2916.31640656
